(10178,6);
(11130,5);
(12083,11);
(13035,12);
(13988,8);
(14940,9);
(15892,15);
(16845,14);
(17797,2);
(18750,3);
(19702,4);
(20654,8);
(21607,7);
(22559,6);
(23511,5);
(24464,11);
(25416,12);
(26369,13);
(27321,7);
(28273,8);
(29226,9);
(30059,15);
(31130,14);
(32083,13);
(33035,7);
(33988,6);
(34940,2);
(35892,3);
(36845,4);
(37797,8);
(38750,7);
(39702,6);
(40654,5);
(41607,11);
(42559,12);
(43511,13);
(44464,7);
(45416,8);
(46369,9);
(47321,15);
(59226,6);
(61130,8);
(62083,13);
(74464,13);
(76369,7);
(78273,2);
(79226,4);
(80178,9);
(81130,14);
(82083,12);
(83035,5);
(83988,7);
(85892,3);
(86845,6);
(86845,8);
(87797,11);
(87797,15);
(88750,12);
(88750,14);
(93511,2);
(93511,15);
(95416,4);
(95416,11);
(97321,6);
(97321,9);
(99226,8);
(99226,5);
(101130,2);
(101607,6);
(102083,12);
(103035,4);
(103511,8);
(103988,14);
(104940,2);
(105416,6);
(105892,12);
(106845,4);
(107321,8);
(107797,14);
(108750,4);
(109702,3);
(110654,2);
(111607,6);
(112559,5);
(113511,11);
(114464,12);
(115416,13);
(116369,14);
(117321,15);
(118273,9);
(119226,8);
(120178,7);
(122083,5);
(122083,9);
(123035,12);
(123035,14);
(124464,2);
(125416,6);
(126369,4);
(127321,8);
(128273,5);
(129226,11);
(130178,9);
(131130,15);
(132083,12);
(133035,14);
(133988,13);
(134940,7);
(139226,6);
(139226,8);
