(2083,2);
(3988,4);
(5892,11);
(7797,15);
(10178,2);
(11130,8);
(12083,12);
(13035,7);
(13035,15);
(13988,4);
(14940,6);
(15892,14);
(16845,7);
(16845,11);
(17321,3);
(17559,6);
(17678,8);
(17916,7);
(18511,11);
(18630,15);
(18750,12);
(18869,14);
(18988,13);
(19226,5);
(19226,9);
(20178,12);
(20178,14);
(20416,13);
(20654,7);
(20892,6);
(20892,8);
(21130,2);
(21130,4);
(21369,3);
(21845,13);
(22083,14);
(22321,15);
(22559,9);
(22797,8);
(23035,7);
(23273,11);
(23392,12);
(23630,5);
(23750,6);
(23988,2);
(24107,4);
(24226,3);
(24464,9);
(24702,14);
(24940,5);
(25178,12);
(25416,6);
(25535,8);
(25773,7);
(26130,11);
(26250,15);
(26369,12);
(26488,14);
(26607,13);
(26845,7);
(27797,2);
(28035,6);
(28273,9);
(28511,15);
(28750,4);
(28988,8);
(29226,5);
(29345,11);
(29583,12);
(29583,14);
(29940,15);
(30059,9);
(30297,6);
(30297,8);
(30654,13);
(30773,7);
(31011,2);
(31011,4);
(31369,6);
(31488,8);
(31726,11);
(31726,15);
(32083,5);
(32202,9);
(32321,12);
(32440,14);
(32559,7);
(32797,6);
(32916,8);
(33154,11);
(33273,15);
(33511,2);
(33750,4);
(33988,3);
(34226,13);
(34464,9);
(34702,11);
(34821,12);
(35059,13);
(35178,14);
(35297,15);
(35416,2);
(35654,3);
(35892,4);
(36130,5);
(36369,6);
(36607,7);
(36726,8);
(36964,9);
(37083,11);
(37321,12);
(37559,13);
(37797,14);
(38035,15);
(38273,2);
(38511,3);
(38630,4);
(38869,5);
(38988,6);
(39107,7);
(39226,8);
(39464,9);
(39583,11);
(39702,12);
(39821,13);
(39940,14);
(40059,15);
(40178,2);
(40416,3);
(40535,4);
(40773,5);
(40892,6);
(41130,7);
(41369,8);
(41607,9);
(41845,11);
(42083,12);
(42321,13);
(42440,14);
(42678,15);
(42916,2);
(43035,3);
(43273,4);
(43511,5);
(43750,6);
(43988,7);
(44226,8);
(44345,9);
(44464,11);
(44583,12);
(44702,13);
(44821,14);
(44940,15);
(45059,2);
(45178,3);
(45297,4);
(45416,5);
(45535,6);
(45654,7);
(45773,8);
(45892,9);
(46130,11);
(46190,12);
(46250,13);
(46309,14);
(46607,15);
(46666,2);
(46726,3);
(46785,4);
(47083,5);
(47202,6);
(47321,7);
(47440,8);
(47559,9);
(47678,11);
(47797,12);
(47797,13);
(47976,14);
(48035,15);
(48214,2);
(48273,3);
(48452,4);
(48511,5);
(48690,6);
(48750,7);
(48928,8);
(48988,9);
(49166,11);
(49226,12);
(49404,13);
(49464,14);
(49642,15);
(49702,2);
(49821,3);
(49940,4);
(50059,5);
(50178,6);
(50297,7);
(50416,8);
(50535,9);
(50654,11);
(50773,12);
(50892,13);
(51011,14);
(51130,15);
(51250,2);
(51369,3);
(51488,4);
(51607,5);
(52083,6);
(52559,7);
(53035,8);
(53511,9);
(53988,11);
(54464,12);
(54940,13);
(55416,14);
(55416,15);
(55595,2);
(55654,3);
(55833,4);
(55892,5);
(56071,6);
(56130,7);
(56309,8);
(56369,9);
(56547,11);
(56607,12);
(56785,13);
(56845,14);
(57023,15);
(57083,2);
(57261,3);
(57321,4);
(57500,5);
(57559,6);
(57738,7);
(57797,8);
(57976,9);
(58035,11);
(58214,12);
(58273,13);
(58452,14);
(58511,15);
(58690,2);
(58750,3);
(58928,4);
(58988,5);
(59166,6);
(59226,7);
(59702,8);
(60178,9);
(60654,11);
(61130,12);
(61369,13);
(61607,14);
(61845,15);
(62083,2);
(62321,3);
(62559,4);
(62797,5);
(62797,6);
(62797,7);
(62797,8);
