(2083,3);
(3988,11);
(5892,15);
(7797,7);
(10178,6);
(11130,5);
(12083,11);
(13035,12);
(13988,8);
(14940,9);
(15892,15);
(16845,14);
(17797,2);
(18750,3);
(19702,4);
(20654,8);
(21607,7);
(22559,6);
(23511,5);
(24464,11);
(25416,12);
(26369,13);
(27321,7);
(28273,8);
(29226,9);
(30059,15);
(31130,14);
(32083,13);
(33035,7);
(33988,6);
(34940,2);
(35892,3);
(36845,4);
(37797,8);
(38750,7);
(39702,6);
(40654,5);
(41607,11);
(42559,12);
(43511,13);
(44464,7);
(45416,8);
(46369,9);
(47321,15);
(47797,3);
(48273,6);
(48750,8);
(49702,11);
(50178,13);
(50654,6);
(51607,15);
(52083,8);
(52559,13);
(53511,2);
(53988,4);
(54464,7);
(55416,12);
(55892,5);
(56369,7);
(57321,9);
(57797,14);
(58273,7);
(59226,6);
(61130,8);
(62083,13);
(63035,6);
(63511,2);
(63988,3);
(64940,4);
(65416,8);
(65892,7);
(66845,13);
(67321,12);
(67797,11);
(68750,5);
(69226,6);
(69702,7);
(70654,8);
(71130,9);
(71607,15);
(72559,14);
(73035,13);
(73511,7);
(74464,13);
(76369,7);
(78273,2);
(79226,4);
(80178,9);
(81130,14);
(82083,12);
(83035,5);
(83988,7);
(85892,3);
(86845,6);
(86845,8);
(87797,11);
(87797,15);
(88750,12);
(88750,14);
(89702,5);
(90178,2);
(90654,7);
(91130,14);
(91607,9);
(93511,2);
(95416,4);
(97321,6);
(99226,8);
(101130,2);
(101607,6);
(102083,12);
(103035,4);
(103511,8);
(103988,14);
(104940,2);
(105416,6);
(105892,12);
(106845,4);
(107321,8);
(107797,14);
(108750,4);
(109702,3);
(110654,2);
(111607,6);
(112559,5);
(113511,11);
(114464,12);
(115416,13);
(116369,14);
(117321,15);
(118273,9);
(119226,8);
(120178,7);
(122083,5);
(122083,9);
(123035,12);
(123035,14);
(124464,2);
(125416,4);
(126369,6);
(127321,8);
(128273,5);
(129226,9);
(130178,11);
(131130,15);
(132083,12);
(133035,14);
(133988,13);
(134940,7);
(139226,6);
(139226,8);
